,Value,Positions,Height,Main position
Sam Johnstone,€10.00m,['Goalkeeper'],"1,93 m",Goalkeeper
Andre,,"['Central Midfield', 'Attacking Midfield']","1,71 m",Central Midfield
Pablo Sarabia,€8.00m,"['Right Winger', 'Left Winger', 'Attacking Midfield']","1,74 m",Right Winger
Jean-Ricner Bellegarde,€18.00m,"['Central Midfield', 'Defensive Midfield', 'Left Midfield']","1,72 m",Central Midfield
Mario Lemina,€10.00m,"['Defensive Midfield', 'Central Midfield']","1,84 m",Defensive Midfield
Matt Doherty,€3.00m,"['Right-Back', 'Right Midfield', 'Left-Back']","1,85 m",Right-Back
Adama Traore,€9.00m,"['Right Winger', 'Centre-Forward', 'Left Winger']","1,78 m",Right Winger
Raul Jimenez,€5.00m,['Centre-Forward'],"1,87 m",Centre-Forward
Reiss Nelson,€15.00m,"['Right Winger', 'Left Winger', 'Attacking Midfield']","1,75 m",Right Winger
Rodrigo Muniz,€20.00m,['Centre-Forward'],"1,86 m",Centre-Forward
Andreas Pereira,€20.00m,"['Attacking Midfield', 'Central Midfield', 'Left Midfield']","1,78 m",Attacking Midfield
Sander Berge,€20.00m,"['Defensive Midfield', 'Central Midfield']","1,95 m",Defensive Midfield
Harrison Reed,€13.00m,"['Central Midfield', 'Defensive Midfield', 'Right Midfield']","1,81 m",Central Midfield
Timothy Castagne,€17.00m,"['Right-Back', 'Right Midfield', 'Left-Back']","1,85 m",Right-Back
Issa Diop,€20.00m,['Centre-Back'],"1,94 m",Centre-Back
Joshua King,€2.00m,"['Centre-Forward', 'Left Winger', 'Right Winger']","1,80 m",Centre-Forward
Bernd Leno,€13.00m,['Goalkeeper'],"1,90 m",Goalkeeper
Joachim Andersen,€35.00m,['Centre-Back'],"1,92 m",Centre-Back
Alex Iwobi,€25.00m,"['Left Winger', 'Right Winger', 'Attacking Midfield']","1,83 m",Left Winger
Calvin Bassey,€16.00m,"['Centre-Back', 'Left-Back']","1,85 m",Centre-Back
Harry Wilson,€17.00m,"['Right Winger', 'Left Winger', 'Attacking Midfield']","1,73 m",Right Winger
Kevin De Bruyne,€45.00m,"['Attacking Midfield', 'Central Midfield']","1,81 m",Attacking Midfield
Jack Grealish,€55.00m,"['Left Winger', 'Attacking Midfield', 'Left Midfield']","1,80 m",Left Winger
Mateo Kovacic,€30.00m,"['Central Midfield', 'Attacking Midfield', 'Defensive Midfield']","1,77 m",Central Midfield
Savinho,€50.00m,"['Right Winger', 'Left Winger', 'Attacking Midfield']","1,76 m",Right Winger
James McAtee,€12.00m,"['Attacking Midfield', 'Central Midfield', 'Right Winger']","1,80 m",Attacking Midfield
Josko Gvardiol,€75.00m,"['Left-Back', 'Centre-Back']","1,85 m",Left-Back
Ruben Dias,€80.00m,['Centre-Back'],"1,87 m",Centre-Back
John Stones,€38.00m,"['Centre-Back', 'Right-Back', 'Defensive Midfield']","1,88 m",Centre-Back
